ID	hgnc_id	symbol	prev_symbol
30682	HGNC:30682	EHBP1L1	
3242	HGNC:3242	EHD1	PAST1
3243	HGNC:3243	EHD2	PAST2
3244	HGNC:3244	EHD3	PAST3
3245	HGNC:3245	EHD4	PAST4
51418	HGNC:51418	EHD4-AS1	
3246	HGNC:3246	EHF	
3247	HGNC:3247	EHHADH	ECHD
44133	HGNC:44133	EHHADH-AS1	
24650	HGNC:24650	EHMT1	EHMT1-IT1
14129	HGNC:14129	EHMT2	C6orf30|BAT8
39751	HGNC:39751	EHMT2-AS1	
13276	HGNC:13276	EI24	
44586	HGNC:44586	EI24P1	
44587	HGNC:44587	EI24P2	
44588	HGNC:44588	EI24P3	
44589	HGNC:44589	EI24P4	
44590	HGNC:44590	EI24P5	
56586	HGNC:56586	EI24P6	
1191	HGNC:1191	EID1	C15orf3|CRI1
28292	HGNC:28292	EID2	CRI2
26796	HGNC:26796	EID2B	
32961	HGNC:32961	EID3	
3249	HGNC:3249	EIF1	
28147	HGNC:28147	EIF1AD	
3250	HGNC:3250	EIF1AX	EIF4C|EIF1A
40208	HGNC:40208	EIF1AX-AS1	
19900	HGNC:19900	EIF1AXP1	EIF1AP1
44295	HGNC:44295	EIF1AXP2	
3252	HGNC:3252	EIF1AY	
30792	HGNC:30792	EIF1B	
44555	HGNC:44555	EIF1B-AS1	
49614	HGNC:49614	EIF1P1	
49615	HGNC:49615	EIF1P2	
49616	HGNC:49616	EIF1P3	
49617	HGNC:49617	EIF1P4	
49618	HGNC:49618	EIF1P5	
49619	HGNC:49619	EIF1P6	
49620	HGNC:49620	EIF1P7	
3254	HGNC:3254	EIF2A	
24921	HGNC:24921	EIF2AK1	
56553	HGNC:56553	EIF2AK1P1	
9437	HGNC:9437	EIF2AK2	PRKR
3255	HGNC:3255	EIF2AK3	
54066	HGNC:54066	EIF2AK3-DT	
19687	HGNC:19687	EIF2AK4	
39495	HGNC:39495	EIF2AP1	
39496	HGNC:39496	EIF2AP2	
39497	HGNC:39497	EIF2AP3	
39498	HGNC:39498	EIF2AP4	
3257	HGNC:3257	EIF2B1	EIF2B
3258	HGNC:3258	EIF2B2	
3259	HGNC:3259	EIF2B3	
3260	HGNC:3260	EIF2B4	
3261	HGNC:3261	EIF2B5	
55202	HGNC:55202	EIF2B5-DT	
6583	HGNC:6583	EIF2D	
3265	HGNC:3265	EIF2S1	EIF2
3266	HGNC:3266	EIF2S2	EIF2
20009	HGNC:20009	EIF2S2P1	EIF2S2P
24654	HGNC:24654	EIF2S2P2	
31664	HGNC:31664	EIF2S2P3	
37626	HGNC:37626	EIF2S2P4	
37793	HGNC:37793	EIF2S2P5	
37794	HGNC:37794	EIF2S2P6	
37795	HGNC:37795	EIF2S2P7	
3267	HGNC:3267	EIF2S3	EIF2G
43863	HGNC:43863	EIF2S3B	
3271	HGNC:3271	EIF3A	EIF3|EIF3S10
3280	HGNC:3280	EIF3B	EIF3S9
3279	HGNC:3279	EIF3C	EIF3S8
26347	HGNC:26347	EIF3CL	
3278	HGNC:3278	EIF3D	EIF3S7
3277	HGNC:3277	EIF3E	INT6|EIF3S6
6102	HGNC:6102	EIF3EP1	INT6P1|EIF3S6P1|EIF3EP
37919	HGNC:37919	EIF3EP2	
37920	HGNC:37920	EIF3EP3	
37921	HGNC:37921	EIF3EP4	
3275	HGNC:3275	EIF3F	EIF3S5
3276	HGNC:3276	EIF3FP1	EIF3S5P|EIF3FP
28863	HGNC:28863	EIF3FP2	
37625	HGNC:37625	EIF3FP3	
3274	HGNC:3274	EIF3G	EIF3S4
3273	HGNC:3273	EIF3H	EIF3S3
3272	HGNC:3272	EIF3I	EIF3S2
13277	HGNC:13277	EIF3IP1	
3270	HGNC:3270	EIF3J	EIF3S1
48616	HGNC:48616	EIF3J-DT	EIF3J-AS1
55005	HGNC:55005	EIF3JP1	
56558	HGNC:56558	EIF3JP2	
56559	HGNC:56559	EIF3JP3	
24656	HGNC:24656	EIF3K	EIF3S12
44016	HGNC:44016	EIF3KP1	
44017	HGNC:44017	EIF3KP2	
44018	HGNC:44018	EIF3KP3	
18138	HGNC:18138	EIF3L	EIF3S6IP|EIF3EIP
20010	HGNC:20010	EIF3LP1	EIF3S6IPP|EIF3EIPP1
24657	HGNC:24657	EIF3LP2	EIF3S6IPP2|EIF3EIPP2
44976	HGNC:44976	EIF3LP3	
24460	HGNC:24460	EIF3M	PCID1
55006	HGNC:55006	EIF3MP1	
3282	HGNC:3282	EIF4A1	EIF4A
3283	HGNC:3283	EIF4A1P1	EIF4A1P
23946	HGNC:23946	EIF4A1P2	
37922	HGNC:37922	EIF4A1P3	
37923	HGNC:37923	EIF4A1P4	
37924	HGNC:37924	EIF4A1P5	
37925	HGNC:37925	EIF4A1P6	
37926	HGNC:37926	EIF4A1P7	
37927	HGNC:37927	EIF4A1P8	
37928	HGNC:37928	EIF4A1P9	
37930	HGNC:37930	EIF4A1P10	
37932	HGNC:37932	EIF4A1P11	
37933	HGNC:37933	EIF4A1P12	
37934	HGNC:37934	EIF4A1P13	
3284	HGNC:3284	EIF4A2	EIF4F
37929	HGNC:37929	EIF4A2P1	
45099	HGNC:45099	EIF4A2P2	
45100	HGNC:45100	EIF4A2P3	
45101	HGNC:45101	EIF4A2P4	
45102	HGNC:45102	EIF4A2P5	
18683	HGNC:18683	EIF4A3	DDX48
51460	HGNC:51460	EIF4A3P1	
3285	HGNC:3285	EIF4B	
19929	HGNC:19929	EIF4BP1	EIF4BP
37935	HGNC:37935	EIF4BP2	
37936	HGNC:37936	EIF4BP3	
37937	HGNC:37937	EIF4BP4	
37938	HGNC:37938	EIF4BP5	
37939	HGNC:37939	EIF4BP6	
37940	HGNC:37940	EIF4BP7	
37941	HGNC:37941	EIF4BP8	
37942	HGNC:37942	EIF4BP9	
3287	HGNC:3287	EIF4E	EIF4EL1|EIF4F
33179	HGNC:33179	EIF4E1B	
3293	HGNC:3293	EIF4E2	EIF4EL3
16237	HGNC:16237	EIF4E2P1	EIF4EL4
51464	HGNC:51464	EIF4E2P2	
31837	HGNC:31837	EIF4E3	
3288	HGNC:3288	EIF4EBP1	
20160	HGNC:20160	EIF4EBP1P1	EIF4EBP1P
44047	HGNC:44047	EIF4EBP1P2	
3289	HGNC:3289	EIF4EBP2	
16596	HGNC:16596	EIF4EBP2P1	EIF4EBP2P
49317	HGNC:49317	EIF4EBP2P2	
49318	HGNC:49318	EIF4EBP2P3	
3290	HGNC:3290	EIF4EBP3	
16687	HGNC:16687	EIF4ENIF1	
3292	HGNC:3292	EIF4EP1	EIF4EL2
32428	HGNC:32428	EIF4EP2	
51461	HGNC:51461	EIF4EP3	
51462	HGNC:51462	EIF4EP4	
51463	HGNC:51463	EIF4EP5	
3296	HGNC:3296	EIF4G1	EIF4G|EIF4F
3297	HGNC:3297	EIF4G2	
3298	HGNC:3298	EIF4G3	
12741	HGNC:12741	EIF4H	WBSCR1
49035	HGNC:49035	EIF4HP1	
49036	HGNC:49036	EIF4HP2	
3299	HGNC:3299	EIF5	
56080	HGNC:56080	EIF5-DT	
3300	HGNC:3300	EIF5A	
3301	HGNC:3301	EIF5A2	
51467	HGNC:51467	EIF5A2P1	
17419	HGNC:17419	EIF5AL1	EIF5AP1
3303	HGNC:3303	EIF5AP2	
3304	HGNC:3304	EIF5AP3	
31442	HGNC:31442	EIF5AP4	EIF5AL3
30793	HGNC:30793	EIF5B	
51465	HGNC:51465	EIF5P1	
51466	HGNC:51466	EIF5P2	
6159	HGNC:6159	EIF6	EIF3A|ITGB4BP
12383	HGNC:12383	EIPR1	TSSC1
41392	HGNC:41392	EIPR1-IT1	TSSC1-IT1
14197	HGNC:14197	ELAC1	
14198	HGNC:14198	ELAC2	
3309	HGNC:3309	ELANE	ELA2
29618	HGNC:29618	ELAPOR1	KIAA1324
21945	HGNC:21945	ELAPOR2	KIAA1324L
3312	HGNC:3312	ELAVL1	HUR
3313	HGNC:3313	ELAVL2	
3314	HGNC:3314	ELAVL3	
3315	HGNC:3315	ELAVL4	HUD
40210	HGNC:40210	ELAVL4-AS1	
49511	HGNC:49511	ELDR	LINC01156
3316	HGNC:3316	ELF1	
3317	HGNC:3317	ELF2	
33539	HGNC:33539	ELF2P1	
24610	HGNC:24610	ELF2P2	
24611	HGNC:24611	ELF2P3	
33540	HGNC:33540	ELF2P4	
3318	HGNC:3318	ELF3	ESX
40211	HGNC:40211	ELF3-AS1	
3319	HGNC:3319	ELF4	
3320	HGNC:3320	ELF5	
33154	HGNC:33154	ELFN1	PPP1R28
39071	HGNC:39071	ELFN1-AS1	
29396	HGNC:29396	ELFN2	LRRC62|PPP1R29
3321	HGNC:3321	ELK1	
39021	HGNC:39021	ELK1P1	
3323	HGNC:3323	ELK2AP	ELK2|ELK2P1
3324	HGNC:3324	ELK2BP	ELK2P2
3325	HGNC:3325	ELK3	
3326	HGNC:3326	ELK4	
23114	HGNC:23114	ELL	C19orf17
17064	HGNC:17064	ELL2	
39343	HGNC:39343	ELL2P1	
39344	HGNC:39344	ELL2P2	
39345	HGNC:39345	ELL2P3	
39346	HGNC:39346	ELL2P4	
23113	HGNC:23113	ELL3	
16286	HGNC:16286	ELMO1	
40765	HGNC:40765	ELMO1-AS1	
17233	HGNC:17233	ELMO2	
38008	HGNC:38008	ELMO2P1	
17289	HGNC:17289	ELMO3	
25334	HGNC:25334	ELMOD1	
28111	HGNC:28111	ELMOD2	
26158	HGNC:26158	ELMOD3	RBM29|RBED1|DFNB88
3327	HGNC:3327	ELN	
40212	HGNC:40212	ELN-AS1	
11620	HGNC:11620	ELOA	TCEB3
50582	HGNC:50582	ELOA-AS1	TCEB3-AS1
30771	HGNC:30771	ELOA2	TCEB3B
31007	HGNC:31007	ELOA3BP	TCEB3CL|ELOA3B
52410	HGNC:52410	ELOA3CP	ELOA3C
33511	HGNC:33511	ELOA3DP	TCEB3CL2|ELOA3D
24617	HGNC:24617	ELOA3P	TCEB3C|ELOA3
54534	HGNC:54534	ELOAP1	
11619	HGNC:11619	ELOB	TCEB2
39719	HGNC:39719	ELOBP1	TCEB2P1
39720	HGNC:39720	ELOBP2	TCEB2P2
39721	HGNC:39721	ELOBP3	TCEB2P3
39722	HGNC:39722	ELOBP4	TCEB2P4
11617	HGNC:11617	ELOC	TCEB1
17762	HGNC:17762	ELOCP2	TCEB1P2
29457	HGNC:29457	ELOCP3	TCEB1P3
38141	HGNC:38141	ELOCP4	TCEB1P4
38140	HGNC:38140	ELOCP5	TCEB1P5
38142	HGNC:38142	ELOCP6	TCEB1P6
38143	HGNC:38143	ELOCP7	TCEB1P7
38144	HGNC:38144	ELOCP8	TCEB1P8
38145	HGNC:38145	ELOCP9	TCEB1P9
38146	HGNC:38146	ELOCP10	TCEB1P10
38147	HGNC:38147	ELOCP11	TCEB1P11
38148	HGNC:38148	ELOCP12	TCEB1P12
38149	HGNC:38149	ELOCP13	TCEB1P13
38150	HGNC:38150	ELOCP14	TCEB1P14
38151	HGNC:38151	ELOCP15	TCEB1P15
38152	HGNC:38152	ELOCP16	TCEB1P16
38153	HGNC:38153	ELOCP17	TCEB1P17
38154	HGNC:38154	ELOCP18	TCEB1P18
38155	HGNC:38155	ELOCP19	TCEB1P19
38156	HGNC:38156	ELOCP20	TCEB1P20
38157	HGNC:38157	ELOCP21	TCEB1P21
38158	HGNC:38158	ELOCP22	TCEB1P22
38159	HGNC:38159	ELOCP23	TCEB1P23
38160	HGNC:38160	ELOCP24	TCEB1P25|TCEB1P24
38731	HGNC:38731	ELOCP26	TCEB1P26
31692	HGNC:31692	ELOCP27	TCEB1P27
49169	HGNC:49169	ELOCP28	TCEB1P28
49170	HGNC:49170	ELOCP29	TCEB1P29
49171	HGNC:49171	ELOCP30	TCEB1P30
49172	HGNC:49172	ELOCP31	TCEB1P31
49173	HGNC:49173	ELOCP32	TCEB1P32
